1,3.338327
8,2.667696
9,3.694056
19,3.769436
22,4.264897
24,5.476952
27,0.668192
31,0.881632
36,1.362515
44,3.374857
45,3.376819
81,2.133124
103,4.035268
105,1.939064
107,1.105272
108,1.454209
109,1.411043
115,2.788271
124,3.747074
143,3.475728
154,0.472998
158,3.757261
164,3.514585
175,3.118025
178,2.564354
179,3.805398
185,2.054058
187,4.071448
189,2.501739
193,0.089571
195,0.899466
196,1.170159
197,0.355803
199,1.111761
251,3.285522
265,4.703003
266,2.573333
284,3.945068
292,2.376602
308,3.187007
311,3.098866
321,4.67602
356,1.58213
357,0.660004
372,1.821872
374,3.468997
377,3.810718
388,3.961663
389,2.951647
422,0.745475
